Time,Variable 1,Variable 2
2017/1/1 0:00,3.0,1.0
2017/1/1 0:10,4.0,1.0
2017/1/1 0:20,5.0,3.0
2017/1/1 0:30,5.333333333333333,2.0
2017/1/1 0:40,5.666666666666666,3.5
2017/1/1 0:50,6.0,5.0
2017/1/1 1:00,5.0,6.0
2017/1/1 1:10,4.0,5.0
2017/1/1 1:20,3.0,4.0
2017/1/1 1:30,2.0,1.0
2017/1/1 1:40,3.0,2.0
2017/1/1 1:50,1.0,3.0
2017/1/1 2:00,5.0,5.0
2017/1/1 2:10,3.0,2.0
2017/1/1 2:20,4.0,2.0
2017/1/1 3:20,5.0,4.0
2017/1/1 3:30,6.0,5.0
2017/1/1 3:40,3.0,6.0
2017/1/1 3:50,5.0,2.0
2017/1/1 4:00,4.0,4.0
2017/1/1 4:10,2.0,7.0
2017/1/1 4:20,6.0,8.0
2017/1/1 4:30,2.0,5.0
2017/1/1 4:40,2.0,6.0
2017/1/1 4:50,1.5,4.666666666666667
2017/1/1 5:00,1.0,3.3333333333333335
2017/1/1 5:10,1.0,2.0
2017/1/1 5:20,1.0,1.0
2017/1/1 5:30,2.0,2.0
2017/1/1 5:40,3.0,3.0
2017/1/1 5:50,5.0,6.0
2017/1/1 6:00,6.0,9.0
2017/1/1 6:10,9.0,5.0
