Time,Variable 1,Variable 2
2017/1/1 0:00,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 0:10,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 0:20,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 0:30,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 0:40,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 0:50,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 1:00,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 1:10,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 1:20,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 1:30,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 1:40,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 1:50,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 2:00,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 2:10,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 2:20,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 2:30,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 2:40,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 2:50,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 3:00,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 3:10,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 3:20,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 3:30,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 3:40,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 3:50,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 4:00,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 4:10,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 4:20,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 4:30,Variable 1: -1.01-2.74,Variable 2: 10.46-15.53
2017/1/1 4:40,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 4:50,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 5:00,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 5:10,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 5:20,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 5:30,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 5:40,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 5:50,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 6:00,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 6:10,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 6:20,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 6:30,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 6:40,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 6:50,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 7:00,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 7:10,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 7:20,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 7:30,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 7:40,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 7:50,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 8:00,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 8:10,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 8:20,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 8:30,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 8:40,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 8:50,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 9:00,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 9:10,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 9:20,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 9:30,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 9:40,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 9:50,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 10:00,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 10:10,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 10:20,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 10:30,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 10:40,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 10:50,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 11:00,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 11:10,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 11:20,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 11:30,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 11:40,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 11:50,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 12:00,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 12:10,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 12:20,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 12:30,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 12:40,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 12:50,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 13:00,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 13:10,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 13:20,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 13:30,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 13:40,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 13:50,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 14:00,Variable 1: 2.74-6.11,Variable 2: 10.46-15.53
2017/1/1 14:10,Variable 1: 2.74-6.11,Variable 2: 20.36-27.23
2017/1/1 14:20,Variable 1: 2.74-6.11,Variable 2: 20.36-27.23
2017/1/1 14:30,Variable 1: 2.74-6.11,Variable 2: 20.36-27.23
2017/1/1 14:40,Variable 1: 2.74-6.11,Variable 2: 20.36-27.23
2017/1/1 14:50,Variable 1: 2.74-6.11,Variable 2: 20.36-27.23
2017/1/1 15:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 15:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 15:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 15:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 15:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 15:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 16:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
